anime id,naslov,ocena,tip,število epizod,leto izdaje,število članov
25161,One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai,7.84,TV Special,1,2014,100804
36796,Owarimonogatari 2nd Season Recaps,7.84,TV Special,2,2017,27993
26123,Seitokai Yakuindomo* OVA,7.84,OVA,10,2014,84636
8063,Sekaiichi Hatsukoi OVA,7.84,OVA,2,2011,73709
22,Tennis no Oujisama,7.84,TV,178,2001,194246
49889,Tsuki ga Michibiku Isekai Douchuu 2nd Season,7.84,TV,25,2024,305813
54829,Urusei Yatsura (2022) 2nd Season,7.84,TV,23,2024,54497
1921,Urusei Yatsura 2: Beautiful Dreamer,7.84,Movie,1,1984,23841
47405,Wanmei Shijie,7.84,ONA,234,2021,13096
60541,Wu Dong Qian Kun 5th Season,7.84,ONA,12,2025,1874
35507,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,7.84,TV,12,2017,1402481
49469,Beastars Final Season,7.84,ONA,12,2024,97145
9513,Beelzebub,7.84,TV,60,2011,621554
37435,Carole & Tuesday,7.84,TV,24,2019,345245
52505,Dark Gathering,7.84,TV,25,2023,173199
8408,Durarara!! Specials,7.84,Special,2,2010,172372
55993,Fanren Xiu Xian Chuan: Xinghai Feichi Xuzhang,7.84,ONA,4,2023,14159
40262,Haikyuu!! Riku vs. Kuu,7.84,OVA,2,2020,333441
24471,Hoozuki no Reitetsu OVA,7.84,OVA,4,2015,19085
15039,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,7.83,Movie,1,2013,308566
31964,Boku no Hero Academia,7.83,TV,13,2016,3203692
40956,Enen no Shouboutai: Ni no Shou,7.83,TV,24,2020,876418
48830,Free! Movie 5: The Final Stroke - Kouhen,7.83,Movie,1,2022,46355
