anime id,studio
401,Studio Deen
543,Madhouse
32615,Nut
34376,Studio Gokumi
53499,Bandai Namco Pictures
58143,Red Dog Culture House
27831,Shuka
2890,Studio Ghibli
967,Toei Animation
36963,TROYCA
54915,Shaft
48411,J.C.Staff
996,Toei Animation
7465,Studio Rikka
33970,Actas
38422,J.C.Staff
9996,Bee Train
77,Seven Arcs
40397,Doga Kobo
50593,CLAP
7720,A-1 Pictures
42916,A-1 Pictures
59939,Sparkly Key Animation Studio
25879,A-1 Pictures
50346,LIDENFILMS
51180,Lerche
36702,Wit Studio
2154,Studio 4°C
4053,M.S.C
38349,A-1 Pictures
38349,Lapin Track
41923,B.CMAY PICTURES
4772,HAL Film Maker
59077,add some
37150,Sparkly Key Animation Studio
38084,CloverWorks
51318,TMS Entertainment
39570,J.C.Staff
1530,Kyoto Animation
31973,Sunrise
33221,Sunrise
2076,Toei Animation
5678,Madhouse
38080,Platinum Vision
7222,Satelight
5029,Xebec
16067,P.A. Works
17549,SILVER LINK.
20507,Bones
57616,Bibury Animation Studios
1089,Tatsunoko Production
52865,domerica
60285,TMS Entertainment
12477,Studio Rikka
12477,Purple Cow Studio Japan
36949,J.C.Staff
2618,Tokyo Movie Shinsha
58509,Cloud Art
39565,Bones
122,Studio Deen
11239,Shaft
645,Studio Pierrot
61595,Climax Studio
4059,Kyoto Animation
58883,Production +h.
2761,Sunrise
50207,Original Force
50207,Wonder Cat Animation
34100,SILVER LINK.
38337,Encourage Films
56609,Shaft
41169,Sunrise
10721,Brain's Base
15689,Shaft
46422,J.C.Staff
10049,Studio Deen
8740,Toei Animation
31174,Studio Pierrot
5682,Bee Train
35790,Kinema Citrus
658,Madhouse
11113,Production I.G
35968,A-1 Pictures
793,Production I.G
18179,TMS Entertainment
48171,Flat Studio
21647,Kyoto Animation
28,Sunrise
30279,TYO Animations
55310,A-1 Pictures
34944,Bones
38409,Sharefun Studio
38409,AHA Entertainment
1470,Sunrise
2450,Shin-Ei Animation
15,Gallop
73,Kyoto Animation
21855,Shaft
187,Studio Deen
53924,Lerche
59177,Production I.G
11739,J.C.Staff
33206,Kyoto Animation
16001,SILVER LINK.
1695,Nippon Animation
24997,Sunrise
